WS50M,WS10M,WS100M,WS80M
4.09,1.49,7.098,6.535
4.08,1.4,6.946,6.393
4.05,1.37,6.768,6.231
4.01,1.36,6.647,6.121
3.8,1.5,6.459,5.959
3.44,1.57,6.16,5.697
3.27,1.45,5.965,5.523
2.67,1.6,4.897,4.591
2.86,1.68,5.342,5.004
3.13,1.82,5.687,5.32
3.09,1.8,5.562,5.204
2.96,1.74,5.284,4.948
2.87,1.74,5.044,4.726
2.97,1.86,4.935,4.621
3.33,2.11,5.044,4.711
3.89,2.45,5.458,5.077
4.48,2.73,6.058,5.614
5.05,2.96,6.753,6.241
5.39,3.03,7.327,6.761
5.02,2.78,7.26,6.699
5.01,2.5,7.551,6.946
5.05,2.5,7.825,7.196
4.83,2.34,7.68,7.067
4.53,2.13,7.4,6.817
4.25,1.85,7.328,6.752
4.13,1.6,7.429,6.84
3.98,1.38,7.041,6.483
3.71,1.41,6.566,6.055
3.26,1.53,6.158,5.698
3.41,1.59,6.277,5.805
3.51,1.4,6.276,5.802
2.91,1.71,5.539,5.181
3.41,1.95,6.321,5.899
3.55,2.04,6.377,5.951
3.65,2.1,6.321,5.895
3.81,2.21,6.375,5.938
3.9,2.28,6.373,5.933
3.91,2.32,6.294,5.859
4.03,2.43,6.269,5.834
4.32,2.62,6.397,5.944
4.66,2.79,6.665,6.182
4.86,2.82,6.867,6.36
4.92,2.76,6.92,6.405
5.06,2.6,7.129,6.579
5.61,2.54,7.993,7.334
5.33,2.37,8.39,7.698
4.68,2.07,7.809,7.182
4.61,1.93,7.947,7.307
4.54,1.78,7.949,7.308
4.34,1.64,7.524,6.922
4.34,1.5,7.371,6.778
4.44,1.49,7.382,6.784
4.3,1.63,7.189,6.617
3.78,1.67,6.752,6.236
3.65,1.73,6.566,6.072
2.85,1.7,5.393,5.049
3.33,1.91,6.06,5.657
3.51,2.02,6.098,5.689
3.64,2.1,6.052,5.64
3.75,2.18,6.062,5.645
3.84,2.26,6.064,5.643
3.91,2.36,6.003,5.585
4.12,2.53,6.055,5.627
4.58,2.81,6.363,5.899
5.15,3.1,6.912,6.389
5.65,3.31,7.541,6.956
5.85,3.35,7.991,7.366
5.48,3.09,7.885,7.268
5.18,2.7,7.845,7.218
5.05,2.55,7.867,7.237
4.56,2.25,7.386,6.805
4.1,1.96,6.942,6.404
3.88,1.75,6.652,6.139
3.73,1.7,6.392,5.903
3.47,1.62,6.082,5.626
3.02,1.65,5.532,5.141
3.05,1.74,5.556,5.165
3.32,1.26,5.93,5.482
3.63,1.52,6.25,5.774
2.65,1.61,4.751,4.457
3.25,1.85,5.417,5.057
3.73,2.12,5.928,5.521
3.65,2.13,5.677,5.289
3.65,2.16,5.562,5.179
3.85,2.3,5.729,5.326
4.22,2.54,6.11,5.667
4.72,2.84,6.667,6.17
5.23,3.08,7.298,6.742
5.59,3.22,7.845,7.241
5.73,3.23,8.153,7.522
5.44,3.03,7.962,7.35
5.07,2.66,7.666,7.073
5.28,2.45,7.977,7.328
5.11,2.36,8.247,7.578
4.75,2.15,7.871,7.24
4.53,1.96,7.547,6.945
4.36,1.82,7.32,6.74
4.19,1.74,7.079,6.523
3.99,1.59,6.891,6.352
3.69,1.6,6.628,6.121
3.54,1.62,6.558,6.062
3.56,1.62,6.686,6.178
3.69,1.78,6.851,6.337
2.88,1.71,5.885,5.507
3.54,2.01,6.819,6.361
3.39,1.92,6.664,6.224
2.75,1.55,5.887,5.52
1.93,1.07,4.856,4.584
1.19,0.66,3.844,3.663
1.0,0.71,3.271,3.136
1.6,1.17,3.367,3.209
2.36,1.63,3.722,3.515
3.06,1.99,4.221,3.954
3.69,2.23,4.813,4.481
4.2,2.31,5.36,4.965
4.39,2.19,5.711,5.274
4.31,1.84,6.086,5.611
4.26,1.62,6.487,5.979
4.21,1.45,6.806,6.266
4.26,1.38,7.246,6.659
4.63,1.48,7.908,7.256
4.94,1.58,8.277,7.587
4.82,1.51,8.075,7.403
4.68,1.48,7.873,7.222
4.48,1.57,7.645,7.022
4.13,1.93,7.184,6.63
3.92,1.65,6.82,6.296
2.48,1.58,4.955,4.654
1.62,1.08,4.067,3.859
0.73,0.55,2.824,2.732
0.93,0.73,2.641,2.546
1.44,1.09,3.031,2.892
1.97,1.43,3.7,3.499
2.45,1.72,4.278,4.022
2.83,1.95,4.75,4.449
3.18,2.14,5.207,4.864
3.44,2.24,5.598,5.222
3.62,2.26,5.924,5.518
3.83,2.22,6.25,5.81
3.82,1.94,6.458,5.984
4.34,1.57,7.196,6.616
5.08,1.76,8.101,7.425
4.75,1.92,7.768,7.141
4.31,1.83,7.281,6.708
4.18,1.72,7.165,6.601
4.21,1.55,7.185,6.616
4.14,1.51,7.076,6.519
3.76,1.64,6.667,6.159
3.45,1.59,6.335,5.862
3.09,1.55,5.861,5.439
2.78,1.61,5.379,5.01
2.97,1.79,4.96,4.645
3.46,2.08,5.346,4.989
4.04,2.41,5.971,5.549
4.27,2.59,6.284,5.834
4.41,2.72,6.507,6.037
4.72,2.92,6.936,6.431
5.0,3.1,7.43,6.887
5.22,3.22,7.904,7.326
5.36,3.27,8.267,7.662
5.51,3.28,8.607,7.974
5.61,3.25,8.892,8.233
5.59,3.12,9.004,8.333
5.2,2.77,8.64,7.996
4.86,2.18,8.273,7.634
4.89,1.95,8.27,7.615
4.48,1.81,7.707,7.109
4.1,1.55,7.102,6.551
3.9,1.34,6.69,6.168
3.65,1.29,6.303,5.818
3.32,1.54,5.819,5.403
2.93,1.6,5.286,4.943
2.63,1.67,4.864,4.582
2.39,1.62,4.53,4.289
2.16,1.43,4.255,4.032
1.36,0.8,3.323,3.16
1.57,0.99,3.446,3.264
1.84,1.25,3.854,3.64
2.0,1.42,4.171,3.936
2.24,1.6,4.513,4.254
2.7,1.89,5.115,4.804
3.25,2.19,5.818,5.446
3.72,2.45,6.461,6.032
4.1,2.64,6.985,6.51
4.29,2.69,7.281,6.779
4.31,2.62,7.38,6.865
4.24,2.46,7.341,6.825
3.86,2.1,6.931,6.445
3.72,1.35,6.624,6.119
4.24,1.34,7.231,6.647
3.88,1.23,6.868,6.328
3.24,1.43,6.113,5.673
2.45,1.25,5.239,4.903
1.57,0.75,4.327,4.075
0.67,0.18,3.389,3.221
0.67,0.55,2.984,2.877
1.27,0.78,3.228,3.088
1.44,0.56,3.348,3.169
1.19,0.56,3.095,2.951
1.07,0.63,3.024,2.895
1.56,0.95,3.684,3.494
1.82,1.16,4.048,3.829
2.12,1.38,4.287,4.045
2.52,1.66,4.607,4.332
2.96,1.95,5.111,4.79
3.29,2.16,5.593,5.231
3.41,2.23,5.872,5.49
3.6,2.33,6.14,5.736
3.8,2.42,6.343,5.919
3.83,2.39,6.411,5.977
3.63,2.21,6.297,5.871
3.15,1.85,5.913,5.521
2.68,1.27,5.464,5.09
2.66,1.36,5.488,5.113
2.49,1.26,5.299,4.948
2.63,1.2,5.363,5.0
2.72,1.19,5.42,5.044
2.71,1.2,5.375,5.002
2.66,1.2,5.282,4.918
2.61,1.16,5.105,4.757
2.78,1.0,5.182,4.811
2.98,0.95,5.331,4.936
2.56,0.99,4.791,4.464
1.74,1.04,3.622,3.429
0.98,0.69,2.505,2.41
0.58,0.55,2.462,2.379
1.76,1.26,3.93,3.717
2.66,1.82,5.002,4.694
2.98,2.01,5.471,5.124
2.94,1.98,5.516,5.169
2.99,2.01,5.557,5.207
3.22,2.1,5.858,5.479
3.42,2.08,6.197,5.784
3.37,2.05,6.288,5.869
3.28,1.9,6.144,5.737
3.0,1.39,5.718,5.333
3.15,1.12,5.813,5.386
3.51,1.15,6.264,5.781
3.02,1.39,5.765,5.358
2.17,1.19,4.924,4.621
1.33,0.83,4.025,3.815
0.71,0.47,3.352,3.204
0.61,0.46,3.092,2.974
1.12,0.84,3.29,3.162
1.67,1.19,3.626,3.471
2.14,1.47,4.049,3.854
2.47,1.59,4.46,4.214
2.12,0.92,4.206,3.942
1.23,0.73,3.097,2.95
1.05,0.67,2.891,2.765
1.29,0.91,3.088,2.945
1.7,1.22,3.53,3.347
2.16,1.54,4.022,3.795
2.56,1.8,4.452,4.185
2.86,1.99,4.788,4.492
3.03,2.1,5.017,4.701
3.11,2.13,5.211,4.881
3.17,2.1,5.412,5.064
3.36,2.06,5.799,5.411
3.52,1.79,6.274,5.827
3.77,1.33,6.877,6.34
4.26,1.37,7.519,6.917
4.3,1.41,7.386,6.803
4.21,1.39,7.201,6.631
3.97,1.25,6.9,6.356
3.79,1.19,6.609,6.091
3.65,1.23,6.412,5.916
3.57,1.82,6.188,5.749
3.63,1.92,6.203,5.766
3.74,1.95,6.325,5.874
3.63,1.48,6.395,5.909
2.39,1.34,4.814,4.51
1.54,0.97,3.696,3.504
1.22,0.58,3.624,3.438
1.11,0.43,3.75,3.557
1.55,0.82,4.198,3.967
2.04,1.18,4.682,4.405
2.54,1.5,5.165,4.84
2.92,1.71,5.537,5.172
3.09,1.81,5.682,5.301
3.03,1.78,5.564,5.194
2.81,1.61,5.271,4.928
2.56,1.37,5.007,4.685
2.79,1.31,5.268,4.908
3.61,1.35,6.36,5.872
3.52,1.67,6.343,5.888
3.31,1.83,5.982,5.579
3.54,1.94,6.037,5.627
3.84,2.1,6.183,5.756
3.89,2.25,6.081,5.671
3.67,2.29,5.736,5.372
3.35,2.2,5.34,5.021
3.14,2.12,5.167,4.865
3.17,2.14,5.321,5.004
3.42,2.17,5.817,5.437
3.43,1.31,6.046,5.594
2.17,1.28,4.748,4.461
2.24,1.21,4.868,4.566
2.94,1.62,5.577,5.205
3.45,1.94,6.109,5.687
3.65,2.08,6.331,5.889
3.7,2.17,6.346,5.904
3.71,2.23,6.246,5.812
3.69,2.25,6.08,5.661
3.64,2.22,5.889,5.487
3.74,2.18,5.897,5.491
3.93,2.17,6.194,5.756
3.86,1.98,6.323,5.866
3.64,1.42,6.413,5.922
3.65,1.19,6.633,6.113
3.21,1.29,6.119,5.668
2.91,1.32,5.701,5.305
2.69,1.27,5.393,5.031
2.48,1.2,5.106,4.772
2.35,1.22,4.883,4.576
2.23,1.37,4.626,4.358
2.16,1.3,4.513,4.25
2.44,1.01,4.868,4.541
2.68,1.17,5.179,4.817
2.49,1.45,4.628,4.342
2.09,1.3,3.881,3.661
0.89,0.69,2.492,2.401
1.0,0.9,3.168,3.03
2.13,1.59,4.43,4.177
2.82,1.99,5.136,4.814
3.29,2.27,5.557,5.192
3.69,2.5,5.901,5.502
3.95,2.64,6.181,5.756
4.12,2.7,6.45,6.003
4.33,2.76,6.775,6.298
4.51,2.74,7.11,6.6
4.59,2.65,7.353,6.812
4.38,2.32,7.273,6.719
4.4,2.23,7.397,6.827
4.13,2.12,6.972,6.448
4.03,2.06,6.834,6.319
3.79,1.8,6.558,6.063
3.86,1.76,6.601,6.097
3.85,1.7,6.703,6.189
3.76,1.65,6.873,6.343
3.54,1.59,6.794,6.276
3.56,1.62,6.793,6.276
3.49,1.63,6.537,6.05
2.79,1.67,5.515,5.164
2.64,1.55,5.429,5.091
1.96,1.1,4.669,4.402
1.51,0.62,4.082,3.86
1.73,0.77,4.16,3.924
1.97,1.08,4.307,4.055
2.14,1.26,4.41,4.144
1.98,1.27,4.158,3.913
1.74,1.24,3.751,3.541
1.74,1.37,3.475,3.287
2.58,1.82,3.801,3.57
3.93,2.41,4.845,4.504
4.98,2.74,6.169,5.691
5.11,2.59,7.03,6.465
4.58,2.2,7.234,6.658
4.4,1.88,7.678,7.057
4.81,1.92,8.501,7.808
4.93,2.03,8.96,8.241
5.04,2.1,8.902,8.196
4.94,2.1,8.443,7.775
5.05,2.16,8.306,7.643
4.82,2.14,7.906,7.284
4.36,1.88,7.451,6.875
4.16,2.05,7.185,6.654
3.38,2.08,6.567,6.132
3.87,2.18,7.181,6.686
4.02,2.23,7.171,6.672
3.52,1.93,6.578,6.134
2.85,1.55,5.709,5.343
2.04,1.1,4.702,4.428
1.31,0.69,3.791,3.6
0.66,0.38,3.044,2.922
0.16,0.31,2.53,2.464
1.03,0.76,3.162,3.028
1.83,1.14,3.753,3.552
2.61,1.35,4.352,4.077
3.5,1.5,5.097,4.724
4.37,1.59,6.144,5.653
4.94,1.59,7.125,6.531
5.37,1.81,8.114,7.424
5.68,2.05,8.895,8.137
5.59,2.2,9.07,8.31
5.15,1.95,8.47,7.771
5.02,1.86,8.187,7.51
4.81,1.78,7.973,7.319
4.67,1.76,7.8,7.165
4.6,1.75,7.772,7.141
4.2,1.9,7.261,6.699
3.06,1.87,5.816,5.438
3.39,1.94,6.251,5.833
4.3,2.36,7.103,6.597
4.07,2.3,6.749,6.279
3.54,2.08,6.094,5.688
2.99,1.83,5.428,5.086
2.55,1.63,4.88,4.59
2.47,1.59,4.661,4.387
2.59,1.59,4.68,4.394
2.82,1.6,5.008,4.686
3.03,1.64,5.475,5.112
3.41,1.79,6.126,5.702
3.86,1.99,6.7,6.212
4.51,2.24,7.53,6.941
4.82,2.32,8.045,7.405
4.41,2.18,7.982,7.366
4.01,1.9,7.33,6.774
4.32,1.96,7.425,6.85
4.38,1.97,7.308,6.736
4.37,1.96,7.253,6.684
4.37,1.91,7.312,6.737
4.43,1.89,7.33,6.749
4.34,1.8,7.249,6.675
3.96,1.7,6.844,6.321
2.78,1.55,5.46,5.11
2.59,1.45,5.513,5.17
2.5,1.43,5.287,4.965
2.02,1.28,4.438,4.194
1.43,1.06,3.461,3.304
1.1,0.87,2.863,2.757
0.77,0.61,2.746,2.655
0.33,0.23,2.78,2.7
0.66,0.44,3.243,3.125
1.09,0.73,3.448,3.306
1.23,0.82,3.246,3.111
1.52,1.01,3.274,3.125
2.2,1.31,3.821,3.605
3.06,1.59,4.997,4.655
3.54,1.87,6.06,5.624
3.59,1.69,6.388,5.909
3.33,1.59,6.254,5.8
3.06,1.47,5.85,5.432
3.33,1.51,6.002,5.559
3.06,1.45,5.722,5.309
2.97,1.43,5.704,5.299
2.95,1.43,5.641,5.246
2.82,1.38,5.503,5.123
2.46,1.32,5.036,4.713
2.27,1.39,4.68,4.401
2.14,1.32,4.548,4.283
1.92,1.24,4.297,4.056
1.61,1.1,3.994,3.785
1.72,1.19,4.1,3.884
2.4,1.63,4.764,4.488
3.18,2.14,5.594,5.242
3.77,2.49,6.21,5.801
3.79,2.52,6.285,5.872
3.39,2.3,5.953,5.574
2.92,2.03,5.529,5.19
2.74,1.85,5.237,4.919
2.9,1.8,5.128,4.803
3.04,1.58,5.152,4.789
3.44,1.47,5.386,4.985
3.06,1.4,4.848,4.503
2.58,1.1,4.274,3.986
2.2,0.92,3.806,3.568
1.83,0.88,3.368,3.182
1.63,0.86,3.089,2.941
1.34,0.85,2.766,2.657
0.8,0.58,2.393,2.325
0.39,0.31,2.226,2.175
0.27,0.18,2.177,2.121
0.19,0.15,2.137,2.088
0.79,0.49,2.934,2.815
1.87,1.16,4.11,3.878
2.3,1.42,4.552,4.277
2.94,1.77,5.304,4.96
3.29,1.93,5.7,5.317
3.65,2.1,6.06,5.641
3.72,2.13,6.142,5.714
3.86,2.24,6.391,5.946
4.26,2.54,6.863,6.378
4.53,2.72,7.189,6.675
4.54,2.72,7.244,6.726
4.66,2.7,7.358,6.824
4.36,2.26,7.029,6.497
4.03,1.65,6.93,6.379
3.1,1.41,5.93,5.493
2.29,1.07,4.884,4.558
2.2,1.0,4.634,4.33
2.26,1.12,4.567,4.264
2.23,1.13,4.539,4.239
2.14,1.01,4.384,4.096
2.21,0.98,4.459,4.161
2.33,1.02,4.583,4.273
2.15,1.08,4.314,4.042
2.72,1.52,4.822,4.513
3.09,1.78,5.216,4.871
3.5,2.07,5.688,5.302
3.66,2.21,5.878,5.477
3.71,2.27,5.956,5.552
3.78,2.34,6.061,5.649
3.91,2.41,6.248,5.82
4.07,2.49,6.497,6.047
4.24,2.56,6.75,6.277
4.38,2.63,6.955,6.463
4.48,2.68,7.098,6.593
4.59,2.69,7.223,6.705
4.53,2.54,7.161,6.642
4.21,2.0,6.814,6.301
4.03,1.39,6.742,6.199
3.72,1.19,6.387,5.877
3.12,1.29,5.577,5.172
2.69,1.57,4.793,4.498
2.87,1.63,4.651,4.363
3.26,1.51,4.878,4.544
3.74,1.19,5.424,5.007
4.08,1.45,5.831,5.374
4.09,1.56,5.991,5.52
3.69,1.69,5.724,5.299
3.49,1.97,5.718,5.322
4.05,2.27,6.42,5.962
4.31,2.43,6.779,6.29
4.4,2.51,6.877,6.383
4.32,2.48,6.828,6.341
4.15,2.39,6.721,6.246
3.88,2.23,6.484,6.034
3.59,2.08,6.245,5.823
3.4,1.99,6.087,5.683
3.35,1.97,6.012,5.612
3.17,1.86,5.8,5.417
2.91,1.68,5.463,5.107
2.4,1.27,4.813,4.51
2.2,0.8,4.538,4.239
2.53,0.86,4.879,4.53
2.94,1.07,5.335,4.941
3.06,1.41,5.446,5.057
3.09,1.48,5.471,5.083
3.16,1.24,5.563,5.157
3.24,1.25,5.634,5.223
3.28,1.25,5.652,5.24
3.28,1.26,5.649,5.238
3.31,1.25,5.583,5.176
3.43,1.42,5.658,5.247
2.79,1.56,5.054,4.723
3.02,1.68,5.176,4.83
2.68,1.56,4.642,4.344
1.84,1.1,3.653,3.449
1.19,0.7,3.014,2.874
0.77,0.45,2.717,2.613
0.46,0.27,2.571,2.487
0.17,0.16,2.359,2.3
0.33,0.25,2.412,2.345
0.75,0.48,2.634,2.539
1.12,0.63,2.815,2.694
1.6,0.88,3.171,3.012
2.01,1.04,3.662,3.449
2.55,1.17,4.475,4.168
2.95,1.31,5.111,4.74
2.87,1.22,5.147,4.773
2.8,1.18,5.132,4.76
2.79,1.21,5.177,4.802
2.85,1.26,5.188,4.812
2.81,1.23,5.174,4.799
2.75,1.29,5.096,4.735
2.75,1.42,5.041,4.692
2.91,1.47,5.098,4.748
2.91,1.57,5.058,4.722
2.97,1.71,5.109,4.776
3.1,1.81,5.327,4.974
3.1,1.86,5.342,4.99
3.12,1.9,5.286,4.938
3.15,1.95,5.222,4.878
3.1,1.94,5.062,4.73
2.98,1.9,4.843,4.529
3.03,1.96,4.762,4.451
3.22,2.08,4.832,4.51
3.78,2.32,5.266,4.892
4.46,2.62,5.894,5.449
4.87,2.75,6.291,5.8
4.83,2.5,6.226,5.733
4.81,2.21,6.36,5.843
4.53,2.0,6.293,5.784
3.84,1.66,5.737,5.291
3.59,1.33,5.437,5.02
3.62,1.3,5.434,5.018
3.4,1.27,5.189,4.804
3.23,1.23,5.107,4.735
3.18,1.17,5.222,4.84
3.18,1.16,5.411,5.01
3.11,1.1,5.456,5.051
2.59,1.19,4.908,4.57
2.1,1.25,3.999,3.771
1.87,1.13,3.59,3.4
1.59,0.99,3.199,3.039
1.73,1.2,3.228,3.06
2.31,1.6,3.685,3.466
2.97,2.02,4.342,4.054
3.63,2.41,5.095,4.732
4.23,2.75,5.803,5.374
4.73,3.02,6.415,5.931
5.23,3.25,7.065,6.523
5.6,3.37,7.616,7.024
5.76,3.34,7.98,7.356
5.57,3.1,7.958,7.335
4.96,2.55,7.454,6.857
5.02,2.35,7.619,6.997
4.58,2.07,7.303,6.715
4.18,1.75,7.168,6.594
3.98,1.49,7.21,6.635
3.93,1.4,7.24,6.664
4.01,1.32,7.144,6.568
4.18,1.33,7.051,6.476
4.21,1.32,6.917,6.352
4.24,1.31,6.906,6.34
3.7,1.54,6.36,5.871
2.2,1.39,4.709,4.432
2.35,1.38,4.814,4.528
2.56,1.45,4.898,4.598
2.67,1.52,4.895,4.589
2.8,1.63,4.908,4.596
3.1,1.86,5.094,4.759
3.52,2.14,5.38,5.013
3.98,2.42,5.767,5.357
4.4,2.67,6.174,5.72
4.79,2.85,6.598,6.102
5.08,2.95,6.965,6.434
5.26,2.93,7.276,6.715
5.15,2.68,7.274,6.709
5.32,2.41,7.647,7.02
5.33,2.33,8.063,7.392
4.8,2.04,7.856,7.211
4.6,1.89,7.74,7.107
4.38,1.7,7.42,6.817
4.22,1.53,7.144,6.566
4.13,1.49,7.015,6.45
3.97,1.41,6.888,6.337
3.9,1.41,6.821,6.279
3.87,1.42,6.832,6.291
3.61,1.6,6.521,6.024
2.46,1.5,5.116,4.8
3.12,1.72,6.34,5.919
3.59,1.93,7.003,6.523
3.77,2.0,7.145,6.649
3.85,2.03,7.142,6.644
3.96,2.1,7.145,6.641
4.0,2.19,7.056,6.559
4.03,2.29,6.917,6.432
4.13,2.39,6.847,6.366
4.27,2.5,6.851,6.366
4.38,2.55,6.836,6.348
4.53,2.55,6.868,6.369
4.59,2.47,6.727,6.224
4.93,2.62,6.871,6.334
4.72,2.59,6.909,6.38
4.31,2.29,6.816,6.3
4.17,2.1,6.95,6.42
4.1,1.79,7.134,6.574
4.1,1.48,7.212,6.628
4.14,1.33,7.199,6.61
4.2,1.35,7.12,6.537
4.33,1.41,7.213,6.619
4.58,1.46,7.467,6.845
4.35,1.59,7.249,6.658
2.32,1.45,4.899,4.602
1.88,1.17,4.478,4.228
2.51,1.37,4.965,4.661
2.53,1.43,4.718,4.432
2.54,1.51,4.476,4.204
2.8,1.73,4.45,4.169
3.23,2.05,4.614,4.306
3.72,2.39,5.019,4.663
4.24,2.7,5.587,5.172
4.7,2.94,6.075,5.614
5.07,3.09,6.492,5.992
5.4,3.17,6.905,6.364
5.46,3.06,7.107,6.542
4.83,2.5,6.636,6.111
4.64,2.13,6.619,6.087
4.39,1.9,6.775,6.23
4.19,1.74,7.253,6.673
4.27,1.75,7.839,7.21
4.01,1.74,7.642,7.047
3.88,1.56,7.248,6.686
3.92,1.39,7.167,6.6
3.98,1.42,7.108,6.541
4.11,1.48,7.2,6.623
3.52,1.69,6.466,5.992
2.29,1.49,5.316,4.999
2.69,1.59,5.784,5.422
2.42,1.42,5.461,5.131
1.36,0.78,4.286,4.072
0.6,0.31,3.366,3.237
0.02,0.11,2.633,2.571
0.6,0.46,2.865,2.77
1.17,0.81,3.133,3.002
1.67,1.1,3.406,3.242
2.1,1.36,3.642,3.449
2.56,1.61,3.887,3.665
3.22,1.91,4.171,3.9
3.65,2.03,4.599,4.284
3.61,1.92,4.667,4.343
3.22,1.55,4.496,4.197
2.74,1.16,4.613,4.315
3.28,1.4,5.557,5.17
4.36,1.73,7.083,6.528
5.28,1.7,8.309,7.6
5.84,1.8,8.85,8.082
5.66,1.85,8.545,7.812
5.46,1.82,8.218,7.519
5.1,2.02,7.904,7.248
4.41,2.1,7.202,6.634
2.83,1.82,5.187,4.86
2.15,1.38,4.523,4.262
1.32,0.8,3.31,3.161
1.1,0.69,2.736,2.628
1.57,1.03,3.036,2.886
1.94,1.27,3.483,3.29
2.32,1.51,3.988,3.75
2.77,1.78,4.531,4.242
3.27,2.05,5.093,4.749
3.66,2.26,5.533,5.147
3.98,2.4,5.917,5.492
4.22,2.42,6.292,5.828
3.95,2.04,6.235,5.768
3.76,1.5,6.273,5.783
4.17,1.88,6.856,6.323
3.83,2.01,6.445,5.977
3.44,2.06,5.781,5.399
3.25,2.04,5.299,4.974
3.14,2.02,4.938,4.651
3.13,2.05,4.737,4.469
3.31,2.16,4.828,4.549
3.53,2.25,5.188,4.873
3.75,2.28,5.652,5.282
3.89,1.75,5.994,5.544
2.6,1.34,4.523,4.231
0.53,0.4,2.215,2.156
0.63,0.37,2.221,2.146
1.46,0.91,3.154,2.995
1.9,1.21,3.62,3.419
2.02,1.31,3.746,3.534
1.94,1.29,3.665,3.463
1.92,1.32,3.621,3.426
2.26,1.56,3.941,3.718
2.99,1.92,4.792,4.488
3.94,2.34,6.066,5.643
4.54,2.55,7.045,6.53
4.52,2.46,7.182,6.654
3.95,2.04,6.642,6.16
3.61,1.71,6.277,5.825
3.28,1.63,5.895,5.481
3.09,1.66,5.739,5.346
2.82,1.55,5.414,5.054
2.74,1.53,5.271,4.926
2.51,1.41,5.0,4.681
2.25,1.29,4.733,4.443
2.14,1.23,4.588,4.314
2.07,1.19,4.449,4.187
2.09,1.21,4.451,4.188
2.21,1.29,4.569,4.297
2.18,1.32,4.497,4.232
1.88,1.15,4.043,3.818
1.4,0.97,3.381,3.219
1.66,1.26,3.37,3.205
2.05,1.53,3.604,3.409
2.39,1.72,3.842,3.618
2.86,1.95,4.229,3.96
3.27,2.12,4.517,4.209
3.56,2.22,4.783,4.447
3.88,2.32,5.296,4.912
4.15,2.42,5.831,5.399
4.3,2.41,6.249,5.778
3.99,2.11,6.307,5.821
3.81,1.52,6.401,5.897
3.62,1.34,6.271,5.786
3.4,1.21,5.946,5.5
3.09,1.0,5.514,5.111
2.57,1.17,4.859,4.534
1.88,1.12,4.139,3.902
1.25,0.84,3.601,3.418
1.11,0.75,3.429,3.261
0.98,0.61,3.245,3.092
0.9,0.56,3.062,2.923
0.79,0.48,2.881,2.763
0.58,0.3,2.683,2.586
0.39,0.12,2.408,2.336
0.06,0.15,2.046,2.017
0.44,0.49,2.244,2.196
1.1,0.92,2.665,2.571
1.84,1.36,2.985,2.833
2.56,1.79,3.628,3.408
3.17,2.13,4.489,4.195
3.69,2.39,5.209,4.844
4.05,2.53,5.851,5.428
4.27,2.54,6.41,5.938
4.09,2.28,6.541,6.058
3.44,1.63,6.119,5.664
3.42,1.71,6.197,5.756
3.04,1.57,5.668,5.29
2.33,1.5,4.754,4.485
1.6,1.13,4.029,3.832
1.0,0.73,3.552,3.398
0.89,0.67,3.436,3.295
1.34,1.0,3.795,3.626
1.8,1.3,4.231,4.023
2.14,1.51,4.624,4.378
2.35,1.54,4.931,4.638
1.45,0.87,3.817,3.615
1.17,0.59,3.396,3.229
1.68,0.87,4.087,3.857
2.43,1.34,4.855,4.555
2.93,1.69,5.291,4.949
3.1,1.85,5.416,5.062
3.2,1.97,5.478,5.118
3.32,2.1,5.554,5.187
3.54,2.29,5.734,5.351
3.76,2.45,5.954,5.552
3.99,2.58,6.213,5.789
4.32,2.68,6.589,6.128
4.69,2.69,7.151,6.63
4.4,2.28,7.147,6.608
4.08,1.59,7.115,6.555
2.86,1.19,5.785,5.375
1.2,0.8,3.752,3.566
1.01,0.59,3.326,3.165
1.06,0.58,3.228,3.071
1.03,0.7,2.896,2.785
1.51,1.08,2.972,2.861
2.37,1.57,3.474,3.309
3.37,1.97,4.469,4.196
3.64,1.55,5.116,4.744
2.36,1.12,4.18,3.904
1.76,0.98,3.537,3.336
2.48,1.39,4.64,4.343
3.06,1.8,5.539,5.172
3.5,2.1,6.095,5.682
3.7,2.27,6.365,5.93
3.87,2.41,6.541,6.093
4.02,2.52,6.72,6.256
4.0,2.54,6.746,6.282
3.82,2.45,6.549,6.104
3.87,2.46,6.559,6.11
3.98,2.46,6.655,6.192
4.07,2.36,6.753,6.269
3.86,1.64,6.688,6.163
4.39,1.39,7.484,6.862
4.09,1.26,7.195,6.606
3.74,1.18,6.755,6.219
3.52,1.31,6.392,5.902
3.36,1.51,6.062,5.619
3.19,1.53,5.746,5.342
3.05,1.77,5.468,5.113
3.11,1.9,5.49,5.142
3.21,1.99,5.622,5.265
3.24,1.55,5.818,5.403
1.84,1.06,4.082,3.852
1.01,0.59,2.976,2.847
0.54,0.2,2.645,2.548
1.44,0.88,3.517,3.338
2.23,1.39,4.325,4.067
2.72,1.7,4.84,4.533
3.08,1.92,5.247,4.901
3.39,2.12,5.618,5.238
3.71,2.32,6.026,5.61
4.06,2.53,6.506,6.049
4.32,2.65,6.918,6.426
4.42,2.65,7.165,6.651
4.26,2.42,7.104,6.589
3.95,1.51,6.927,6.381
4.34,1.36,7.484,6.868
3.96,1.24,6.982,6.423
3.43,1.09,6.321,5.833
3.04,1.11,5.894,5.458
2.7,1.26,5.54,5.156
2.42,1.33,5.245,4.909
2.46,1.4,5.228,4.897
2.7,1.49,5.291,4.947
3.05,1.15,5.556,5.152
3.0,1.21,5.481,5.076
2.11,1.26,4.131,3.889
1.34,0.85,3.004,2.862
