electricity
50.031
82.902
121.623
128.826
118.837
104.163
131.28
179.973
202.474
191.154
86.153
35.536
34.919
29.995
21.636
16.071
11.414
8.56
10.196
17.713
29.763
51.918
82.701
108.13
111.257
85.176
53.681
37.38
34.857
39.833
49.748
56.803
68.494
77.618
46.148
11.338
4.051
3.287
4.201
4.635
6.71
10.691
20.259
35.253
51.627
70.684
97.351
123.051
134.482
134.676
134.285
130.46
128.645
128.784
124.579
111.697
94.941
77.038
25.288
5.372
12.391
13.398
12.583
11.591
11.155
10.947
13.324
20.152
33.385
41.227
44.126
49.587
56.998
66.3
73.955
71.357
69.269
75.467
84.834
100.45
115.615
121.545
49.49
20.172
30.37
28.849
21.911
16.07
15.228
28.07
66.145
141.471
234.774
293.902
270.859
214.847
200.424
189.005
161.218
128.708
93.993
82.044
82.009
91.323
105.257
46.865
26.568
39.571
45.072
50.533
55.77
51.641
72.069
70.955
53.927
44.582
45.399
49.441
54.495
60.706
49.578
31.197
23.162
20.937
20.21
19.134
18.088
15.759
11.162
4.198
3.17
1.818
2.713
3.928
3.959
4.884
13.055
27.992
33.043
17.275
10.714
12.253
17.424
25.151
36.792
43.904
54.896
66.654
67.445
51.722
34.037
18.429
15.702
19.048
4.785
3.908
1.375
0.693
1.978
5.378
14.404
15.833
10.633
5.545
2.436
1.849
2.99
4.199
8.819
30.403
59.76
37.569
20.684
12.76
10.184
8.123
11.557
14.793
11.505
11.813
10.439
4.128
8.895
16.013
15.169
10.299
10.791
9.792
5.572
21.65
65.079
133.931
211.379
257.582
253.166
214.631
172.014
128.527
102.509
98.114
113.352
103.96
37.042
22.313
11.128
5.655
3.846
4.049
2.056
1.232
14.639
46.975
87.202
129.767
179.046
217.489
242.375
240.645
217.254
176.244
129.266
96.519
74.384
56.418
46.843
37.64
10.807
10.51
24.793
39.549
48.535
39.57
43.542
46.524
35.969
21.531
14.209
12.229
11.002
10.606
16.079
15.667
15.275
16.264
17.374
21.434
33.891
64.927
81.688
44.299
50.886
48.84
42.12
29.427
27.713
36.02
60.735
104.154
134.91
157.346
179.966
224.744
262.532
236.941
203.493
189.843
171.017
141.788
122.895
137.161
142.083
140.663
125.017
85.009
139.581
199.767
227.567
222.927
210.806
181.746
188.829
234.807
231.273
226.909
224.766
238.877
259.348
262.769
263.663
268.861
261.952
233.69
268.874
284.878
290.73
316.312
377.868
374.689
391.783
375.652
338.101
280.111
254.512
202.47
